1234,Elsa Musik 1,https://open.spotify.com/album/3E20g5xQv0OcWTeRTTb91N?si=KpnuuROrQZ2hFSCjfw4p5w,ALBUM,FROM_START,0
1345,Elsa Musik 2,https://open.spotify.com/album/5CP1NmBBc7h88ypESIJdqD?si=I8xliTPVQIGdChcEY-Y98w,ALBUM,FROM_START,0
45766,Kasperli 1,https://open.spotify.com/album/3PAwFHPEYm5PDi9IfqC7WC?si=E_K1UNXyT5-bGNyBAxS_Zg,ALBUM,FROM_START,0
56789,Kasperli 2,https://open.spotify.com/album/0VGqEmf8jbOIX0L5X8v8HD?si=S4fUkn5RRcqd72KgVnFdHw,ALBUM,FROM_START,0
4567,Kasperli 3,https://open.spotify.com/album/5I2dpJn9x2dyrkkUsMTNTC?si=rSc-seduQle3uGe4FbvuAA,ALBUM,FROM_START,0
46794,Kasperli 4,https://open.spotify.com/album/0UViEvD3ecSdPc8vAgHHEJ?si=d1ENzXi5R9u2RYeOiFgtiw,ALBUM,FROM_START,0
3333,Die drei ???,https://open.spotify.com/playlist/6GW1MH9yw8zA2AHDPW73cO?si=d054499b93c346d1,PLAYLIST,FROM_LAST_TRACK,https://open.spotify.com/track/34XFlS4MPlCRlYW7rchgki?si=2eda3105bf2f4458
34658,Gladiator,https://open.spotify.com/album/5XgEM5g3xWEwL4Zr6UjoLo?si=5qg8aK1iSNeyH-GKLzkkVQ,ALBUM,FROM_START,0
2468,Paw Patrol,https://open.spotify.com/album/6Wp3XmMkP9ffOcBWGigYJm?si=QWvgm10jQRyrVQKvXuWHfg,ALBUM,FROM_START,0
34783,Füürwehr,https://open.spotify.com/album/2ly5SxkIcCwjU0kZ4kopGB?si=E5yCxTtoQQ2c6C4TiU7FMQ,ALBUM,FROM_START,0
4237385,I singe vo der Sunne,https://open.spotify.com/album/0pJhzsPjhUeK0sBzLmOWjZ?si=yloBlcxRQRiNhFJ8eIHcNw,ALBUM,FROM_START,0
23483568,Nilo Samichlaus,https://open.spotify.com/album/27iN3rMJTIeqF2lYOrt6xP?si=PDrDvIZRTaiRQXrCzN4-hg,ALBUM,FROM_START,0
24635,Nilo Mammut,https://open.spotify.com/album/1sdiMMpK0WTyzqbWqqMzdu?si=-UjCgIquRkWl99JCTjJuMg,ALBUM,FROM_START,0
24467,Zauberorgel,https://open.spotify.com/album/7oPhc9BfEcw8zuyd8F0QDn?si=khQ6YrwuTUWpBh-Tu9nAuA,ALBUM,FROM_START,0
